Restaurant,Dish Type,Name,Description
California Pizza Kitchen,Original Hand-Tossed Pizzas,Five Cheese + Fresh Tomato,"Fresh and traditional Mozzarella, Monterey Jack, smoked Gouda and Pecorino Romano with tomato and fresh basil"
California Pizza Kitchen,Original Hand-Tossed Pizzas,California Veggie,"Baby broccoli, eggplant, Cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and Mozzarella. We love it on wheat whole grain crust."
California Pizza Kitchen,Crispy Thin Crust Pizzas,Marghertia,"The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
California Pizza Kitchen,Crispy Thin Crust Pizzas,Tostada,"Crisp lettuce, tortilla strips and housemade herb ranch, top this hearth-baked crust with layers of black beans, melted Cheddar and Monterey Jack. Served with flame-roasted salsa. + Lime Chicken"
California Pizza Kitchen,Crispy Thin Crust Pizzas,The Meat Cravers,"Italian sausage, pepperoni, applewood smoked ham, spicy Capicola ham and salami."
California Pizza Kitchen,Crispy Thin Crust Pizzas,Roasted Artichoke + Spinach,"Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, Mozzarella and Parmesan."
California Pizza Kitchen,Crispy Thin Crust Pizzas,Pear + Gorgonzola,"Bosc pears, sweet caramelized onions and hazelnuts, topped with chilled field greens in housemade Gorgonzola ranch."
California Pizza Kitchen,Crispy Thin Crust Pizzas,Sicilian,"Spicy marinara, Italian sausage, spicy Capicola ham, salami, Mozzarella, shaved Parmesan, fresh basil and oregano. Rustic meets refined."
California Pizza Kitchen,Crispy Thin Crust Pizzas,Jamaican Jerk Chicken,"Spicy sweet Caribbean sauce, authentic Jamaican spices, Nueske’s applewood smoked bacon, red onions and bell peppers."
California Pizza Kitchen,Lite Adventures,Quinoa + Arugula Salad,"Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and Feta tossed in our housemade Champagne vinaigrette."
California Pizza Kitchen,Lite Adventures,Fire-Roasted Chile Relleno,"Spicy poblano stuffed with chicken, cheese, roasted corn & black bean salsa, wild mushrooms, spinach and eggplant. Topped with housemade avocado salsa verde and cilantro."
California Pizza Kitchen,Lite Adventures,Shrimp Scampi Zucchini Fettuccine,"Sautéed with lemon, garlic and white wine tossed with zucchini ribbons, fettuccine, parsley and Parmesan."
California Pizza Kitchen,Lite Adventures,Grilled Chicken Chimichurri,Marinated grilled chicken breast with pan-roasted vegetables and our housemade Argentinean inspired chimichurri sauce.
California Pizza Kitchen,Lite Adventures,Cedar Plank Salmon,Roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash topped with Feta.
California Pizza Kitchen,Small Plates,Bianco,"Whipped truffle cream, Gorgonzola, Mozzarella and fresh sage."
California Pizza Kitchen,Small Plates,Shaved Mushroom + Spinach,"Cremini mushrooms, sautéed spinach and California Olive Ranch extra virgin olive oil with Romano and Parmesan."
California Pizza Kitchen,Small Plates,Spicy Fennel Sausage + Poblano,"Torn sausage, fresh Mozzarella, fire-roasted chilies and wild Greek oregano with spicy marinara."
California Pizza Kitchen,Small Plates,White Corn Guacamole + Chips,"Diced avocado, sweet white corn, black beans, jicama, bell peppers, cilantro and serrano peppers."
California Pizza Kitchen,Small Plates,Spicy Chicken Tinga Quesadilla,"Lime chicken, Monterey Jack, caramelized onions, roasted peppers, black beans and cilantro, baked in our hearth oven. Served with housemade ranchito sauce."
California Pizza Kitchen,Small Plates,Petite Wedge,"Topped with bleu cheese dressing, Nueske’s applewood smoked bacon, chopped egg and tomatoes."
California Pizza Kitchen,Small Plates,Asparagus + Arugula Salad,"Tossed in housemade lemon vinaigrette with sun-dried tomatoes, toasted almonds and shaved Parmesan."
California Pizza Kitchen,Small Plates,Crispy Mac 'N' Cheese,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
California Pizza Kitchen,Desserts,Salted Caramel Pudding,"Rich caramel pudding, black cocoa cookie crumbs, housemade whipped cream, caramel sauce and natural flaked sea salt."
California Pizza Kitchen,Desserts,Red Velvet Cake,Frosted with hand-whipped vanilla bean cream cheese and white chocolate curls. + Haagen-Dazs
California Pizza Kitchen,Desserts,Key Lime Pie,On a graham cracker crust with housemade whipped cream.
California Pizza Kitchen,Desserts,Belgian Chocolate Souffle Cake,Warm chocolate cake served with triple-thick hot fudge and vanilla bean sauce. + Haagen-Dazs
California Pizza Kitchen,Desserts,Butter Cake,Trust us. Just try it. Served warm with housemade whipped cream. + Haagen-Dazs
California Pizza Kitchen,Desserts,Tiramisu,Sweet Italian cream cheese and marsala custard between layers of espresso and rum-soaked lady fingers.
California Pizza Kitchen,Specialty Coffees,B-52 Coffee,"Baileys Irish Cream, Kahlua, Grand Marnier"
California Pizza Kitchen,Specialty Coffees,Irish Coffee,"Jameson Irish Whiskey, Sugar"
California Pizza Kitchen,Coffee + Teas,Coffee (Regular),
California Pizza Kitchen,Coffee + Teas,Coffee (Decaf),
California Pizza Kitchen,Coffee + Teas,Tazo Hot Teas (Awake),Black Tea
California Pizza Kitchen,Coffee + Teas,Tazo Hot Teas (Zen),Green Tea with Mint + Lemongrass
California Pizza Kitchen,Coffee + Teas,Tazo Hot Teas (Calm),Caffeine-Free Chamomile
California Pizza Kitchen,Coffee + Teas,Tazo Hot Teas (Earl Grey),
